espèce source,interaction,espèce cible,source,poids,commentaire
abricot,favorise,achillée millefeuille,Favorise d'après 'IDEP Foundation',1.0,
abricot,favorise,ail,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'IDEP Foundation'",2.0,
abricot,favorise,asperge,Favorise d'après 'Sustainable Gardening Australia',1.0,
abricot,défavorise,avoine,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,basilic,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'IDEP Foundation'",2.0,
abricot,défavorise,blé,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,capucine,Favorise d'après 'IDEP Foundation',1.0,
abricot,défavorise,epeautre,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,epinard,Favorise d'après 'IDEP Foundation',1.0,
abricot,défavorise,herbe,Défavorise d'après 'IDEP Foundation',1.0,
abricot,favorise,mélisse,Favorise d'après 'IDEP Foundation',1.0,
abricot,défavorise,orge,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,défavorise,orme,Défavorise d'après 'Ooreka',1.0,
abricot,favorise,ortie,Favorise d'après 'IDEP Foundation',1.0,
abricot,favorise,raifort,"Favorise d'après 'IDEP Foundation', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
abricot,défavorise,seigle,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,soucis,Favorise d'après 'IDEP Foundation',1.0,
abricot,favorise,tanaisie,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'IDEP Foundation'",2.0,
abricot,défavorise,tomate,"Défavorise d'après 'IDEP Foundation', Défavorise d'après 'Ecological Agriculture Projects, McGill University', Défavorise d'après 'Sustainable Gardening Australia'",3.0,
abricot,favorise,tournesol,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'IDEP Foundation'",2.0,
absinthe,défavorise,ail,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,repousse,altises,"""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",1.0,
absinthe,défavorise,anis,Défavorise d'après 'Le Monde',1.0,
absinthe,défavorise,asperge,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,aubergine,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,betterave,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,blettes,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,favorise,brocoli,"Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
absinthe,défavorise,carvi,Défavorise d'après 'Le Monde',1.0,
absinthe,favorise,chou de bruxelles,Favorise d'après 'Ekopedia : cultures associées',1.0,
absinthe,favorise,choux,"Favorise d'après 'Ekopedia : cultures associées', Défavorise d'après 'Defi Ecologique', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
absinthe,défavorise,concombre,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,"courge, citrouille, potiron",Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,courgette,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,cresson,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,céleris,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,echalote,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,endive,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,epinard,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,fenouil,"Défavorise d'après 'Le Monde', Défavorise d'après 'Defi Ecologique', Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",3.0,
absinthe,défavorise,fraisier,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,fève fèverole,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,haricots,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,laitue,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,repousse,limaces,"""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",1.0,
absinthe,défavorise,maïs,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,melon,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,menthe,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,mâche,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,navet,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,noyer,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,oignon,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,favorise,panais,"Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
absinthe,défavorise,persil,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,poireau,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,pois,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,poivron,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,pomme de terre,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,favorise,pêcher,Favorise d'après 'Ooreka',1.0,
absinthe,défavorise,radis,"Défavorise d'après 'Defi Ecologique', Favorise d'après 'Ekopedia : cultures associées', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
absinthe,défavorise,rutabaga,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,sarriette,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,sauge,"Défavorise d'après 'Defi Ecologique', Défavorise d'après 'Le Monde', Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",4.0,
absinthe,défavorise,tomate,"Défavorise d'après 'Defi Ecologique', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
achillée millefeuille,favorise,abricot,Favorise d'après 'IDEP Foundation',1.0,
achillée millefeuille,favorise,cerfeuil,Favorise d'après 'IDEP Foundation',1.0,
achillée millefeuille,favorise,cerisier,Favorise d'après 'IDEP Foundation',1.0,
achillée millefeuille,favorise,framboisier,"""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",1.0,
achillée millefeuille,favorise,laitue,Favorise d'après 'Sustainable Gardening Australia',1.0,
achillée millefeuille,favorise,maïs,"""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",1.0,
achillée millefeuille,favorise,mûre,Favorise d'après 'IDEP Foundation',1.0,
achillée millefeuille,favorise,pommier,Favorise d'après 'IDEP Foundation',1.0,
achillée millefeuille,favorise,romarin,"""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",1.0,
achillée millefeuille,défavorise,rue,"""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",1.0,
achillée millefeuille,favorise,tanaisie,Favorise d'après 'IDEP Foundation',1.0,
achillée millefeuille,favorise,vigne,Favorise d'après 'IDEP Foundation',1.0,
ail,favorise,abricot,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'IDEP Foundation'",2.0,
ail,défavorise,absinthe,Défavorise d'après 'Defi Ecologique',1.0,
ail,défavorise,artichaut,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', ""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",2.0,
ail,défavorise,asperge,"Favorise d'après 'Jardinage Biologique', Défavorise d'après 'Defi Ecologique', Défavorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Défavorise d'après 'Ekopedia : cultures associées', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', Défavorise d'après 'Companion planting', Défavorise d'après 'Sustainable Gardening Australia', Défavorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat', Défavorise d'après 'Companion gardening', Défavorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', ""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",9.0,
ail,favorise,betterave,"Favorise d'après 'Jardinage Biologique', Favorise d'après 'Ecological Agriculture Projects, McGill University', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Jean Monet. Le jardin des Monet', Favorise d'après 'Bonnes et mauvaises associations dans le potager', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Le potager de Marie', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",9.0,
ail,favorise,blettes,"Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
ail,défavorise,brocoli,"Favorise d'après 'Ekopedia : cultures associées', Défavorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Défavorise d'après 'Sustainable Gardening Australia'",1.0,
ail,favorise,camomille,"Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Le potager de Marie'",2.0,
ail,repousse,campagnols,"""Plantes compagnes au potager bio"" et ""Le poireau préfère les fraises""
                    ",1.0,
ail,défavorise,cardon,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
