crop1,crop2,source,type,Reason,Sens
Abricot,Achillée,23,+,,
Abricot,Ail,23,+,,
Abricot,Ail,17,+,,
Abricot,Asperge,17,+,,
Abricot,Basilic,17,+,,
Abricot,Basilic,23,+,,
Abricot,Capucine,23,+,,
Abricot,Epinard,23,+,,
Abricot,Mélisse,23,+,,
Abricot,Ortie,23,+,,
Abricot,Raifort,23,+,,
Abricot,Soucis,23,+,,
Abricot,Tanaisie,23,+,,
Abricot,Tanaisie,17,+,,
Abricot,Tournesol,23,+,,
Abricot,Tournesol,17,+,,
Absinthe,Brocoli,15,+,,
Absinthe,"Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
Absinthe,Chou de bruxelles,15,+,,
Absinthe,Radis,15,+,,
Achillée,Arbres fruitiers (en général),23,+,,
Achillée,Cerfeuil,23,+,,
Achillée,Cerise,23,+,,
Achillée,Laitue (Salade),17,+,,
Achillée,Mûre,23,+,,
Achillée,Pomme,23,+,,
Achillée,Tanaisie,23,+,,
Achillée,Vigne,23,+,,
Ail,Arbres fruitiers (en général),9,+,,
Ail,Arbres fruitiers (en général),3,+,,
Ail,Arbres fruitiers (en général),23,+,,
Ail,Arbres fruitiers (en général),15,+,,
Ail,Arbres fruitiers (en général),13,+,,
Ail,Arbres fruitiers (en général),11,+,,
Ail,Asperge,2,+,,
Ail,Aubergine,20,+,,
Ail,"Blettes (bettes, cardes, poirées…)",15,+,,
Ail,Betterave,2,+,,
Ail,Betterave,5,+,,
Ail,Betterave,6,+,,
Ail,Betterave,7,+,,
Ail,Betterave,9,+,,
Ail,Betterave,10,+,,
Ail,Betterave,15,+,,
Ail,Brocoli,15,+,,
Ail,Camomille,6,+,,
Ail,Camomille,9,+,,
Ail,Carotte,9,+,,
Ail,Carotte,8,+,,
Ail,Carotte,7,+,,
Ail,Carotte,6,+,,
Ail,Carotte,5,+,,
Ail,Carotte,4,+,,
Ail,Carotte,3,+,,
Ail,Carotte,19,+,,
Ail,Carotte,15,+,,
Ail,Carotte,14,+,,
Ail,Carotte,13,+,,
Ail,Carotte,12,+,,
Ail,Carotte,10,+,,
Ail,Céleris (branche & rave),9,+,,
Ail,Céleris (branche & rave),15,+,,
Ail,Céleris (branche & rave),6,+,,
Ail,Cerfeuil,23,+,,
Ail,Cerise,17,+,,
Ail,Cerise,23,+,,
Ail,"Choux (cabus, fleur, chinois, milan, frisé, rave)",20,+,,
Ail,"Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
Ail,Chou de bruxelles,15,+,,
Ail,Citron,15,+,,
Ail,Concombre,9,+,,
Ail,Concombre,8,+,,
Ail,Concombre,7,+,,
Ail,Concombre,6,+,,
Ail,Concombre,3,+,,
Ail,Concombre,2,+,,
Ail,Concombre,15,+,,
Ail,Cornichon,6,+,,
Ail,Cornichon,9,+,,
Ail,Endive,15,+,,
Ail,Epinard,9,+,,
Ail,Epinard,15,+,,
Ail,Fève & Fèverole,9,+,,
Ail,Fenouil,6,+,,
Ail,Fraise,9,+,,
Ail,Fraise,8,+,,
Ail,Fraise,7,+,,
Ail,Fraise,6,+,,
Ail,Fraise,5,+,,
Ail,Fraise,4,+,,
Ail,Fraise,3,+,,
Ail,Fraise,2,+,,
Ail,Fraise,15,+,,
Ail,Fraise,14,+,,
Ail,Fraise,12,+,,
Ail,Fraise,10,+,,
Ail,Fraise,1,+,,
Ail,Framboise,9,+,,
Ail,Framboise,17,+,,
Ail,Framboise,16,+,,
Ail,Framboise,15,+,,
Ail,Framboise,11,+,,
Ail,Laitue (Salade),9,+,,
Ail,Laitue (Salade),8,+,,
Ail,Laitue (Salade),7,+,,
Ail,Laitue (Salade),6,+,,
Ail,Laitue (Salade),5,+,,
Ail,Laitue (Salade),2,+,,
Ail,Laitue (Salade),15,+,,
Ail,Laitue (Salade),12,+,,
Ail,Laitue (Salade),10,+,,
Ail,Laitue (Salade),1,+,,
Ail,Lavande,23,+,,
Ail,Mûre,17,+,,
Ail,Mûre,23,+,,
Ail,Oignon,8,+,,
Ail,Oignon,3,+,,
Ail,Oignon,15,+,,
Ail,Oignon,14,+,,
Ail,Panais,17,+,,
Ail,Pêche,17,+,,
Ail,Pissenlit,6,+,,
Ail,Poireau,8,+,,
Ail,Poireau,3,+,,
Ail,Poireau,14,+,,
Ail,Poire,17,+,,
Ail,Pomme de terre,9,+,,
Ail,Pomme de terre,6,+,,
Ail,Pomme de terre,5,+,,
Ail,Pomme de terre,4,+,,
Ail,Pomme de terre,15,+,,
Ail,Pomme de terre,12,+,,
Ail,Pomme de terre,10,+,,
Ail,Pomme de terre,1,+,,
Ail,Pomme,23,+,,
Ail,Radis,1,+,,
Ail,Radis,6,+,,
Ail,Radis,7,+,,
Ail,Radis,9,+,,
Ail,Radis,12,+,,
Ail,Radis,15,+,,
Ail,Romarin,23,+,,
Ail,Romarin,17,+,,
Ail,Rutabaga,9,+,,
Ail,Rutabaga,15,+,,
Ail,Sarriette,6,+,,
Ail,Sarriette,9,+,,
Ail,Tomate,9,+,,
Ail,Tomate,8,+,,
Ail,Tomate,7,+,,
Ail,Tomate,6,+,,
Ail,Tomate,5,+,,
Ail,Tomate,4,+,,
Ail,Tomate,3,+,,
Ail,Tomate,2,+,,
Ail,Tomate,19,+,,
Ail,Tomate,15,+,,
Ail,Tomate,12,+,,
Ail,Tomate,10,+,,
Ail,Tomate,1,+,,
Aneth,Asperge,19,+,,
Aneth,Betterave,8,+,,
Aneth,Betterave,3,+,,
Aneth,Betterave,23,+,,
Aneth,Betterave,15,+,,
Aneth,Betterave,14,+,,
