Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
,African yam bean,Fabaceae,Sphenostylis stenocarpa (Hochst. ex A. Rich.) Harms,,,
,Alchornea,Euphorbiaceae,Alchornea Sw.,,,
Maceron,Alexanders,Apiaceae,Smyrnium olusatrum,,"Medicinal, Aromatic Plants, Flowers & Others",
,Alfalfa,Fabaceae,Medicago sativa L.,,,
Amandes,Almonds,Rosaceae,Prunus dulcis,Fruit,Fruits,Nut fruits
Alysson,Alyssum,Brassicaceae,Alyssum,,"Medicinal, Aromatic Plants, Flowers & Others",
Angélique,Angelica,Apiaceae,Angelica archangelica L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Anis,Anise,Apiaceae,Pimpinella anisum L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Pomme,Apple,Rosaceae,Malus pumila Mill.,Fruit,Fruits,Pome fruits
Pomme Golden ,Apple (Golden delicious),Rosaceae,Malus pumila,Fruit,Fruits,Pome fruits
Pomme Granny Smith ,Apple (Granny Smith),Rosaceae,Malus pumila,Fruit,Fruits,Pome fruits
Pomme de table autres ,Apple (others),Rosaceae,Malus pumila Mill.,Fruit,Fruits,Pome fruits
Abricot,Apricot,Rosaceae,Prunus armeniaca L.,Fruit,Fruits,Stone fruits
Armoise,Artemisia (mugwort),Asteraceae,Artemisia absinthium L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Artichaut,Artichoke,Asteraceae,Cynara cardunculus,Vegetable,Vegetables,Leaf vegetables
Asperge,Asparagus,Asparagaceae,Asparagus officinalis,Vegetable,Vegetables,Leaf vegetables
Aster,Aster flower,Asteraceae ,Aster,,"Medicinal, Aromatic Plants, Flowers & Others",
Aubergine,Aubergine,Solanaceae,Solanum melongena L.,Vegetable,Vegetables,Fruiting vegetables
,Bambara groundnut,Fabaceae,Vigna subterranea L.,,,
Banane,Banana,Musaceae,Musa L.,,Fruits,
Orge,Barley,Poaceae,Hordeum vulgare L.,,Cereals,
Basilic,Basil,Lamiaceae,Ocimum basilicum L.,,"Medicinal, Aromatic Plants, Flowers & Others",
