espèce source,interaction,espèce cible,source,poids,commentaire
abricot,favorise,achillée,Favorise d'après 'IDEP Foundation',1.0,
abricot,favorise,ail,"Favorise d'après 'IDEP Foundation', Favorise d'après 'Sustainable Gardening Australia'",2.0,
abricot,favorise,asperge,Favorise d'après 'Sustainable Gardening Australia',1.0,
abricot,défavorise,avoine,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,basilic,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'IDEP Foundation'",2.0,
abricot,défavorise,blé,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,capucine,Favorise d'après 'IDEP Foundation',1.0,
abricot,défavorise,epeautre,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,epinard,Favorise d'après 'IDEP Foundation',1.0,
abricot,défavorise,herbe,Défavorise d'après 'IDEP Foundation',1.0,
abricot,favorise,mélisse,Favorise d'après 'IDEP Foundation',1.0,
abricot,défavorise,orge,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,ortie,Favorise d'après 'IDEP Foundation',1.0,
abricot,favorise,raifort,"Favorise d'après 'IDEP Foundation', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
abricot,défavorise,seigle,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
abricot,favorise,soucis,Favorise d'après 'IDEP Foundation',1.0,
abricot,favorise,tanaisie,"Favorise d'après 'IDEP Foundation', Favorise d'après 'Sustainable Gardening Australia'",2.0,
abricot,défavorise,tomate,"Défavorise d'après 'Ecological Agriculture Projects, McGill University', Défavorise d'après 'IDEP Foundation', Défavorise d'après 'Sustainable Gardening Australia'",3.0,
abricot,favorise,tournesol,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'IDEP Foundation'",2.0,
absinthe,favorise,brocoli,"Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
absinthe,favorise,carotte,"Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
absinthe,favorise,chou de bruxelles,Favorise d'après 'Ekopedia : cultures associées',1.0,
absinthe,favorise,choux,"Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
absinthe,défavorise,cresson,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,défavorise,fenouil,"Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Défavorise d'après 'Defi Ecologique', Défavorise d'après 'Le Monde'",3.0,
absinthe,défavorise,noyer,Défavorise d'après 'Defi Ecologique',1.0,
absinthe,favorise,panais,"Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
absinthe,favorise,pêche,Favorise d'après 'Ooreka',1.0,
absinthe,défavorise,sauge,"Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
absinthe,défavorise,tomate,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
achillée,favorise,abricot,Favorise d'après 'IDEP Foundation',1.0,
achillée,favorise,arbres fruitiers,Favorise d'après 'IDEP Foundation',1.0,
achillée,favorise,cerfeuil,Favorise d'après 'IDEP Foundation',1.0,
achillée,favorise,cerise,Favorise d'après 'IDEP Foundation',1.0,
achillée,favorise,laitue,Favorise d'après 'Sustainable Gardening Australia',1.0,
achillée,favorise,mûre,Favorise d'après 'IDEP Foundation',1.0,
achillée,favorise,pomme,Favorise d'après 'IDEP Foundation',1.0,
achillée,favorise,tanaisie,Favorise d'après 'IDEP Foundation',1.0,
achillée,favorise,vigne,Favorise d'après 'IDEP Foundation',1.0,
ail,favorise,abricot,"Favorise d'après 'IDEP Foundation', Favorise d'après 'Sustainable Gardening Australia'",2.0,
