common_name,category,wiki,taxonomy,latin_name,TaxID,NCBI,name
abricot,Fruit,,Rosaceae,Prunus armeniaca L.,,,abricot
absinthe,Arômate,,Asteraceae,Artemisia vulgaris,,,absinthe
achillée,Arômate,,Asteraceae,Achillea millefolium L.,,,achillée
agrumes,Fruit,,Rutaceae,Citrus L.,,,agrumes
ail,Légume,,Alliaceae,Allium sativum L.,,,ail
alysson,Arômate,,Brassicaceae,Alyssum,,,alysson
amandes,Fruit,,Rosaceae,Prunus dulcis,,,amandes
aneth,Arômate,,Apiaceae,Anethum graveolens L.,,,aneth
angélique,Arômate,,Apiaceae,Angelica archangelica L.,,,angélique
anis,Arômate,,Apiaceae,Pimpinella anisum L.,,,anis
arachide,Légume,,Fabaceae,Arachis hypogaea L.,,,arachide
arbres fruitiers,Fruit,,Fruit trees,None,,,arbres fruitiers
armoise,Arômate,,Asteraceae,Artemisia absinthium L.,,,armoise
aromatique,Arômate,,Miscellaneous,Miscellaneous,,,aromatique
arroche,Légume,,Chenopodiaceae,Atriplex halimus L.,,,arroche
artichaut,Légume,,Asteraceae,Cynara cardunculus,,,artichaut
asperge,Légume,,Asparagaceae,Asparagus officinalis,,,asperge
aster,Arômate,,Asteraceae,Aster,,,aster
aubergine,Légume,,Solanaceae,Solanum melongena L.,,,aubergine
avoine,Céréale,,Poaceae,Avena sativa L.,,,avoine
banane,Fruit,,Musaceae,Musa L.,,,banane
basilic,Arômate,,Lamiaceae,Ocimum basilicum L.,,,basilic
bette et carde,Légume,,Amaranthaceae,Beta vulgaris L. ssp. cicla L. W.D.J. Koch,,,bette et carde
betterave,Légume,,Amaranthaceae,Beta vulgaris L.,,,betterave
betterave botte,Légume,,Amaranthaceae,Beta vulgaris L.,,,betterave botte
betterave conservation,Légume,,Amaranthaceae,Beta vulgaris L.,,,betterave conservation
blettes,Légume,,Amaranthaceae,Beta vulgaris L. ssp. cicla L. W.D.J. Koch,,,blettes
blé,Céréale,,Poaceae,Triticum aestivum L.,,,blé
blé dur,Légume,,Poaceae,Triticum durum Desf.,,,blé dur
bourrache,Arômate,,Boraginaceae,Borago officinalis L.,,,bourrache
brocoli,Légume,,Brassicaceae,Brassica oleracea L. var. botrytis,,,brocoli
café,Légume,,Rubiaceae,Coffea canephora Pierre ex Froehner,,,café
calebasse,Légume,,Cucurbitaceae,Lagenaria siceraria (Molina) Standl.,,,calebasse
camomille,Arômate,,Asteraceae,Chamaemelum nobile L.,,,camomille
capucine,Arômate,,Tropaeolaceae,Tropaeolum,,,capucine
cardon,Légume,,Asteraceae,Cynara cardunculus var. altilis,,,cardon
carotte,Légume,,Apiaceae,Daucus carota L. var. sativus Hoffm.,,,carotte
carotte botte,Légume,,Apiaceae,Daucus carota L. var. sativus Hoffm.,,,carotte botte
